load,partner,hostenv,opsenv,apikey,project
y,rafay-qc,qc-console.stage.rafay.dev,ops-console-kumar-tb2.dev.rafay-edge.net,ra2.vvvvvvvvvv,project1default-catalog
y,rafay-q,qc-console.stage.rafay.dev,ops-console-kumar-tb2.dev.rafay-edge.net,ra2.xxxxxxxxxxxx,project1default-catalog
